ID1	APPLY_P_00	APPLY_P_01	APPLY_P_02	APPLY_P_03	APPLY_P_04	APPLY_P_05	APPLY_P_06	APPLY_P_07	APPLY_P_08	APPLY_P_09	APPLY_P_10	APPLY_P_11	APPLY_P_12	APPLY_P_13	APPLY_P_14	APPLY_P_15	APPLY_P_16	APPLY_P_17	APPLY_P_18	APPLY_P_19	APPLY_U_00	APPLY_U_01	APPLY_U_02	APPLY_U_03	APPLY_U_04	APPLY_U_05	APPLY_U_06	APPLY_U_07	APPLY_U_08	APPLY_U_09	APPLY_U_10	APPLY_U_11	APPLY_U_12	APPLY_U_13	APPLY_U_14	APPLY_U_15	APPLY_U_16	APPLY_U_17	APPLY_U_18	APPLY_U_19	APPLY_D_00	APPLY_D_01	APPLY_D_02	APPLY_D_03	APPLY_D_04	APPLY_D_05	APPLY_D_06	APPLY_D_07	APPLY_D_08	APPLY_D_09	APPLY_D_10	APPLY_D_11	APPLY_D_12	APPLY_D_13	APPLY_D_14	APPLY_D_15	APPLY_D_16	APPLY_D_17	APPLY_D_18	APPLY_D_19	REGISTER_P_00	REGISTER_P_01	REGISTER_P_02	REGISTER_P_03	REGISTER_P_04	REGISTER_P_05	REGISTER_P_06	REGISTER_P_07	REGISTER_P_08	REGISTER_P_09	REGISTER_P_10	REGISTER_P_11	REGISTER_P_12	REGISTER_P_13	REGISTER_P_14	REGISTER_P_15	REGISTER_P_16	REGISTER_P_17	REGISTER_P_18	REGISTER_P_19	REGISTER_U_00	REGISTER_U_01	REGISTER_U_02	REGISTER_U_03	REGISTER_U_04	REGISTER_U_05	REGISTER_U_06	REGISTER_U_07	REGISTER_U_08	REGISTER_U_09	REGISTER_U_10	REGISTER_U_11	REGISTER_U_12	REGISTER_U_13	REGISTER_U_14	REGISTER_U_15	REGISTER_U_16	REGISTER_U_17	REGISTER_U_18	REGISTER_U_19	REGISTER_D_00	REGISTER_D_01	REGISTER_D_02	REGISTER_D_03	REGISTER_D_04	REGISTER_D_05	REGISTER_D_06	REGISTER_D_07	REGISTER_D_08	REGISTER_D_09	REGISTER_D_10	REGISTER_D_11	REGISTER_D_12	REGISTER_D_13	REGISTER_D_14	REGISTER_D_15	REGISTER_D_16	REGISTER_D_17	REGISTER_D_18	REGISTER_D_19
462	5	6	1	2	7	3		3	27	12	11	14	16	22	15	12	11	6	9	9	2		3	4	6	3							2			1	2		1			1	4	1		1					8		2	1								2			2	2	8	1	3	3	18	6	13	16	18	15	4	11	9	7		2	3	2	4	5							1	1	1			1	1				1	4	1	1					8				3					
463																																																																																																																								
464		1								1	2	7	4	4	2	3	2		2			1								2				1								1	2					1	3	3		1		1	2		2		1									2				1	2	7	5	2		3	2			1													1								1	2				1	1	4	1			1		2		1	1	
465					1								1																																																														1																																													
467	2	3	2	1	2	1	2	2	2	25	99	30	139	116	63	90	25	4	8	3																																	8	6	6	4	1									1		3	1	1	1	7	34	8	34	41	31	31	8	4																																		8	7	9		1		
469		4		1	2	1	2																																																												3		1																																																			
470			4	3					1				1	2			3																																					1	1											6												3																																					1					
472																										1																																																												1																																		
476				1	1			1			1		2	1							1	1																			4					2		1	3																				1						1							2																				2						1	3											
477	4	7	16	17	42	44	128	177	224	319	387	372	352	515	498	556	461	425	209	325														1	5	5	4	2		2										2				1								3	2	2	10	14	15	4	4	2	6	18	24	93	111	58	81	129	209	255																				1											2				1					
479	6	8	2	6	7	11	21	22	23	38	34	53	90	116	141	142	221	185	121	153																																	1			1				2	5	6	11	2	6	9	15	12	20	8	14	16	44	43	95	82	108	164	121	14	1	1	1																															1			1			1
480										1																																																																																																														
482																																																																																																																								
486	19		7	21	49	13	13	13	3	1																																																			5	4	10	11	4	13	36	18	12														1																																					
488		106	297	214	39	22	5	1																																																								44	86	99	23	25	4	5																																																		
489	16	31	19	394	58	60	59	49	75	67	118	105	92	156	348	279	411	452	359	207	5	16	6	385	4	25	8	8	1		1				1			33	4	33											3						1	1			37	26	37	28	23	45	85	58	32	28	60	77	80	53	135	193	282	226	359	298	11	14	17	350	29	26	10	1		7			1						4	20													2					2		
490																																																4																																																													4											
492																																																																																																																								
493													2																																																																																																											
495	2	3	2			5	4	10	38	5	19	7	8													1																																				1		3	2	1	1	7		4	11	15	6	2	1											1																																		
496	1			9	16	31	193	369	298	97	90	92	76	76	99	121	112	117	42	118	1	3	1	7	3	5	87	196	146	45	33	17	6	9	17	22	6	6	7		6	15	11	42	60	20	7	23	5	4	6	4		3	19	18	22	31	35	23					1	2	34	115	188	75	99	23	20	29	40	38	45	58	42	45				1	4		61	14	51	26	35	9	17	25	21	5	8	6	7	7					26	68	7	11	22	1	3	6	4	1	3	23	17	21	35	17
497	1	1	3	1	8	2	9	1	6	5	3	5	11	8	5	17	18	13	5	1																							1											1	3				1	1	1				4		2	5	4	1	3	3	2	2	9	3	5	18	5	2																																				3			1	
498	1		1				3		3	1			2		1		10	11	5	3	1		1					1	1														1														7	9	5				1						2		2		1	1			2	7	5		1			1								1																									4	7	5	
499																																																																																																																								
502	1																																																																																																																							
503					2	7		3	1	1	1		4	4	1			1						1		6		1	1																																						1	4	2	1	1	1			5	1								1		6			2																															
504																																																																																																																								
506	2	5	1	2	4	11	14	17	18	33	30	40	46	48	45	39	50	50	34	67			1		1	2	2	2	1														2	2	1		2	2		10	18	7		6		16	4	7	7	6	1		1	1	1	2	5	6	8	10	12	25	25	45	42	35	31	32	34	38			1		1	1	2	1	1	1										1				2	3			2	2	1	8	5	22		6		17	4	7	5
507									1																																																																																																															
508	11	5	1		1		3	3	7	5	4	2		5	6	7	7	17	6	6	6																									1															4	1	3	6	1	2	2	1	4		1	1	4		1	5	5	10	6	10	7																									1														
509	3	3	1				1	2	6	20	14	12	5	7	9	5		5		1	1							2		1	1		1		2		1					2	38	18	20	2	23	9	4	2	4	7	7	8	21	5	22	92	96	78	1	2	2		3	1	1	1	1	1	1	2	16	17	6		4	2				2	1						2				1									1	8	38	18	6	2	31	4	3	3	7	6	8	16	3	4	45	96	83
511			5	4	6	17	22	33	18	9	7	15	10	71	30	18	12	7		1														4																											2	1	2	1	2	4	8	12	13	19	5	7	5	9	7	6	4	3																																										
512	1		1		1		2	2																																																						1	1	1		1	1	1	2						1																																													
513	3	10	3	4		1	6	4	5	11	16	6	11	8	7	10	7	5	4	3																												1													3	6	3	2	5	6	1	3	3	3	2	11	17	6	10	8	9	9	4	8	1	1																											1											
514								2	6																																																												1	1																																																		
515	1		8	11	7	6	18	24	5	4	10	33	84	134	118	116	18	7	4	10																												4					11	10	16	2	10								2	6	1	5	4	9		4	13	146	175	76	106	92	4	8																													4					14	5	17	5	5		
516																																																																																																																								
517																																																																																																																								
518																																																																																																																								
519	6	4		2	2	3	2	1	2		1		10	8	1	9	34	25		61								1																												1	1							2	1	1	1	1	1					1	2	2	2	1		3								1																													1	1		
520	21	23	23	33	64	73	69	91	98	111	84	97	94	100	97	97	54	73	40	38								2			2	2																																				12	23	20	13	18	41	71	64	39	25	23	40	23										1				1																										
521					1																																																										1		1																																																							
523	2	4	2	5	7	7	9	7	10	18	19	31	41	65	35	9	11	14	19	5			2		3	1	1	7			7	2	9		1	2						2				2	1	5	6	7			3							1			1	2	1	6	12	4	4	8	4	2	12	24	21	30	8	6	19	5	1	2	2		2	2	1		1	3	1	2	2	3	8								2				3		5	3	4		2							
524	3	5	4	5	1	1	4	1			3		1			3	3			1																																									1	5	3	3	2	7	4	3	1				1		3			4		1																																								
525	3	4	6	2	8	7	4	1																																				9	8	8																		1	3	2	4	10																																					9	16														
527	3								2		1																	1																																			1	2			1		1	1	1																					1																												
528							1			1						1		5		3																						1																																						2																																								
529										2	5	3	1	2																																																								2		1	2	2	2																																													
530																																																																																																																								
532	34	65	111	235	340	320	421	425	24	1												1		1	2	2	16	4													2	14		6	8	42	15	34													9	16	26	32	50	105	430	425	376	173												1			3	1	12	1	2												1	2	14		9	34	18	12	31											
533																																																																																																																								
534	13	10	3	11	5	14	13	18	21	12	15	17	6	3						1		1																				1	3	1		1															2	1	8	16	5	9	14	16	12	7	6	16	13	1	1	2						1																					2	3		1														
536				3			1			2		1	4	2			1		1																																																2		1				2	1	4	1			1	1																																								
537	2	3	2	10	7	14	4	14	38	22	26	21	52	30	12	15	9	14	10	14																					2						8						1	3													3	11	2	11	37	24	21	45	37	11	7	10	10	2																												8						4						
538			2	4	6	6	14	6	13	12	75	64	51	46	35	13	14	7	1	4			1			1		1															5		1	5		1																	3	3	5	9	6	1	2	7	17	19	10	10	6	3	1	5			1			1																		4	1	2	4		1											
539					1	2	2	1	1				1	5	9	2										1	1																							1		1															1		3		1			3	6	2											2																									1								
540	4238	5671	7205	8960	11079	13191	8444	5955	5694	4922	4031	3209	2658	3309	3668	3450	3762	3405	2616	4640		2	128	200	215	233	9	3						2	4	1					3	190	424	370	500	630	729	619	654	710	865	791	728	1265	765	1016	988	823	784	975	1		785	2331	3250	4616	9173	7871	2651	1360	1503	2470	2715	2885	3039	2652	3559	2892	2616	2823			100	227	275	280	22								1	1							185	453	422	592	620	685	735	378	563	828	959	835	1347	732	1069	912	784	1044
541			1		1			1	1														1																																																												1																																					
542	69	129	718	2125	1756	1675	1588	86	3												40	58	94																																						112	104	127	30	85	803	2276	1706	1110	56	43	17									85	56	89	14	23	16																																		
543																																																																																																																								
545		1					2	3	2	1			1	2																																																						1	2	1				3	2																																													
546	2	3	26	7	12	12	12	6	14	18	44	9	3	7	7	7	1	8	1					3		3								1							2		6	12	16	12	3	12	12	49	20	6	3	6	8	11	3	8	4	4				2	13	6	8	7	10	3	6	2	3	2	2	1	5	3	1	13					3	2	1									1						1	7		24	11	6	8	8	14	29	16	4	4	5	14	5	6	4	5
547		2	1	3	2	5	2	7	5	7	6	6	10	6	9	4	15	9	7	5						1	3	3																																					2	2	3	1	5	3	2	5	7	7	6	5	6	4	7	5							2				1																													
549																																																																																																																								
550																																																																																																																								
551												1					3	1																																																									1																																													
552	3	2	1	1	1		19		1		6	3		1	5	4	5	4	1	1	10	9	3				7		1																	1										1								1	1	5	7	7	2		3	5	1		1		7	4	1	2	9	12	2	2			6	1																			1										1			
553		5	2																																																													1	3																																																							
554						2	1		1																																																											1																																																				
561	2	5	3	7	24	42	68	108	121	115	122	187	313	215	308	146	133	140	116	187											1			1					1									2			3																	16	44	22	22	50	92	84	100	49	53	76	116	128												1			1				1										2		1	1								
563				6	1	1	3	9	3	4	12	9	2	12	6	10	3		2										1	1	1																																		4	1	2	2	4	2	2	8	12	10	6	1			2													1																												
564	35	30	40	27	16	17	38	33	47	21	33	29	30	41	25	26	16	10	17	1													2					1					2					1													36	25	37	35	35	45	21	18	28	17	11	22	19	38	37	30	17	26	17	31	1																	2						2																
565	15	3	4		1	8															4		1																				1																		2		13	3	5	2	2	5													16	2	1																					1																
566							1																																																														1																																																			
567	3	3	1	2	13	32	119	114	102	67	73	70	69	58	84	26	31	40	25	29						1	22		1		1																3	4	3		8		4	6	2		1		2	4	2			2	1	1	9	59	89	49	43	42	56	64	48	44	63	39	25	35						1	22																				2	1	4		3	3	5		4	4		2	2	4
568									1					1																																			1	2																																																												3										
569																																																																																																																								
570																																																																																																																								
600		1								2		2	1		4					2																																													1							3		1	2																																													
601	1										2		1		2						1																																												1							1	2			2					1																																							
602						1	2	1	1	1		1																																	2	4	1	2	1		1	3	1																		2			1																																						3								
603														3	3																																																														1																																											
604	3	2	1	8	6	8	17	3	13	3				4		1		1		1	1	1		7	5	3				5			1				1	1	1		3			3	15	12	9	7	4	5		2	4	6			1	1		2	1	2	2	2		5	6	18	2	3	4	2	1							3		1	1	6	4	4					1	2							1		6		3		3	19	10	7	7		4	1	2	4		2	1	1		1
605								1	1			1	3				1																																																					1								1																																										
606						1					2	1			2		1									2	2																																									1				1	1			1	1	1									4																																	
607		1	2	3	2	2	3	12	7		2	1			3	3										2																																										3	4	1							2	1								1	1																																	
608										1		1		2	1	3	1	3	3																	1														3																						1				3			3																																3									
609		1	1		1			1		3	1				1			1		1										1											7	12	6	5	7			3	4	5								2	2					1	1								2							1													1								8	4	11	3	7	4			3		5								2	
610		1		1				1	2																																																						1							1	2																																																	
611	25	196	115	1153	2409	1864	1814	722	811	253	217	176	196	199	35	63	65	61	23	27			19	441					48													65	201	277	301	295	300	137	223	87	43	78	49	61		1	1	8	7	9		1		142	175	314	1051	1183	315	18	17	132	120	105	110	134	120	73	23	1			1	394	167		1																	234	354	312	278	281	159	145	22	85	80	58	38		1	2	7	9
612			1	1	3	3	4	6	3	8	5	13	4	5	4	2			1	3						1																	1	1	3			1	2	6	4	10	3			1	13	12	4	1					1		2	2	4	4	5	10	7	4	4	4	4	1	1	4						1																	1		4			1		8	3	9	3			1	13	10	4	4
613	25	35	82	247	313	442	394	220	250	20												5	12	43	71	7	3	46	43	7											9	13	13	21	29	23	58	33	31	7											7	18	26	12	15	57	153	136	114	36	31	52	52	10	4	4						4	15	33	52	36	4		10	5	2	4									2	5	12	11	24	29	27	71	22	14	15									
614		1								2	4	5	1	1	1	7		1																																						10															2	3	2	2			4	2																																							10			
615																																																																																																																								
616			1	1	2	2					2																																																							2	3	1					1																																															
617				1			6	9	3	9																																																									1		6	2	3	2	1																																															
618												1		1																																																												1		1																																												
619	12	16	6	11	6	11	12	15	5	6	11	8	8	19	16	7					9	10	4	1	2	1	4	3	2	2	1			2	3	6	1				82	30	44	51	70	16	213	91	82	76	50	31	52	40	46	116	61	8			6	9	12	6	13	10	15	8	8	7	6	4	4	7	5	10	9	11			4	11	4	2	2	1	4	1	1		1		1		2	1	2				66	38	43	53	79	18	166	100	79	97	61	19	35	50	40	25	106	30		
620											15	1	14	9	15	3	2	7	2	9											1											1												2	2																		6	8	13	4	10	3	2	9													1										1											1	1	2				
621	1			7	1			3		1								4	3	2																																											1		2	1	1			1									3	2																																								
622																																																																																																																								
623	4	3	1	2	2	10	7	10	3		1						5	7	9	3	1	3	3	2	1		3	3		2								1			4	3	4			2	1				1	1		2	2	1	2	1	1		4	2	1	2	1	2	4	9	6		1	3							9	1	3	4	3	2	2		1		3				2								2	2	4	3		1	1	1					1	1	2	2	3		1	2
624			1	1						1	12	48	36	35	29	9	14	19	13	7			3	2							3	7			1	3	4	1	2												2	20	11	5	6			2	1	1												2	9	57	30	30	24	8	13	8			2	1									2	8			2	4	2													2	15	17	5	4		2	1	1
625		2		3									3	11	7	6	6	8	3	7		2																																									1			2								2	2	3	7	2	3	11		2																																						
626	3		1	2	1	1					3	4	2			3	2											1													1												1										2	1		3	2							1	2		1	2																								1												1						
627						2	4	2	2	3	10	9	23	21	30	11	13	11	9	9						4	3	1	4	2	1		1														1										1										2	2	1	1		2	5	4	10	11	8	5	9	10						4	2		1	1	2		2	1													1											1		
628																		1	1																																																												1																																									
629	1																																																																																																																							
630	1	2	2	1	2	2	1	4	4	10	50	29	23	28	29	25	30	13	17	25	3	2	4	1	1	3																	1	1										1			1											1	2	3		10	47	33	20	26	25	23	17	23																																			1			1		
631									4																																				3																											1																																	3															
632		1				1	2	3			3				3		5		1	2						1																2										1						1	1						1				1	1	1		3			1	2	3	1	1						1																2										1							1	8
634	2	4	6	6	5	1	1	6	3	1	3	3	7	3	4	1	6	2	5	7							2																																				3	4	1	2	10	6		3	2		3	7	4	4	1	3	5	7								4																																
635					2					1	2	1		2					2																																																1	1			1	1		2		1			2	1																																								
636	1	2		3	2			3	2	4	2	1	11	21	12		1	2	3																																												1	2		1						4	1	17	5	3	2		3	1																																								
637			1	1	1	1		2	1	6	7	14	12	5	1					1												1									1	6		1			4			5	5	13	6			1						1				1	3		4			5	6	9	6																										1		4				2			5	3	14	6			1				
638		3		1			4	7	5	2	4		1		4	1	2	3	1	2	1	1	1																																											1		2	2	2		2	2	1			2	2	1		1		1																																					
639	36	45	27	46	22	21	16	33	26	35	45	31	50	25	40	56	59	82	23	104	22	6	1	13	3	1	1	2	1	1	1	2	1		1					1	7	12	34	71	2	24	8	26	10	25	11		6	8		8	12	10	11	5	5	1	14	41	19	26	36	17	13	5	10	22	48	32	31	31	25	33	23	16	37	13	1	10	6		2		1	1	1		2	1		1					10	6	21	36	53	15	12	12	24	6	24	6	6	7	7	4	10	5	11	7
640	3	3	3	9	6	4	7	3	2	9	15	15	11	11	16	12	22	20	20	24																																						5			1	2	1	3	1	7	12	6	5	1	7	5	9	11	9	12	10	14	20	18					1																																	4		
641		1			4	1		2	1	2	5	1	3	2	3	1					2	1	1	5	3	1				2	1	1	1		2	1					3	5	3	18	15	8	4	1	18	13	29	3	6	15	16	14	27										2		1		3	1		4	4	2					1	2	3	4	2	3						1	2	1	1		1				3	4	3	10	19	12	6		6	23	25	9		13	14	16	24	5		
642			1		1	1			1					1						1																																				1																					1																																								1			
643				2	12	3	2	1		1	5			5	1	3	2	3	1																																			1		5			8								9	2	2	1					1	1	1	1	1	2																																			1		1		8	
644											1																																	1																																																													1															
645						1	1			2			3		1	3	1			2					1																																												1			1			1					1					1																																			
646					1	2		2	2	2	3	1	11	1	1	9	5	8	3	2								1			1				1	1											2	7		12	18	11	35	20	13	61	39	77	37	18								1	1			2		10	1	1			3	2													1														2	1	6	10	14	10	13	24	20	32	41	57	37	48
647																																																																																																																								
648			1	1	2	2		4		2	3	5	1	1				1								2																							1		4														1		3	1		1			4	5			1	1								2																								1		1								
649	2	1			1	2	1	1				1																																																					1		2	3					1																																															
650	40	47	20	49	27	16	7																		1																																						9	16	14	33	65	58																2	2	1																																		
651	2	3					2	3	1	1								1		1					4			1										1	1																							1	2	2					2		1						1			1					2			1											1																					
652						6	2	4	8	8	7	6	12	20	11	12	12	9	10	13	3	1						2													5							2	10	10	1	6		13	9	24	2	8	10	22									2	2	1	6	2	6	5	7	14	10	10	6									1																				2	6	5	7	1	7	12	25	3	2	10	21
653			1		1	2	1				1	1		3	3	3	5	1	6	7		2																				1	1																									3	2	1			1	3		2	3	2	6	6		2																				1	1																	
654																																																																																																																								
655	1		1																																																															2																																																						
656	21	7	14	9	7	4	3	10	14	16	18	16	25	22	34	30	51	51	15	52	5	6	7	10	5	9	9	9	5	12	13	15	22	18	2	12	3	2			5	8	4	4	5	7	4	8	12	8	12	3	12	16	4	7	11	8	5		7	7	14	5	9	4	4	1	3	4	5	7	11	18	10	7	15	10	15	50	12	5	9	10	6	8	9			2	1	7	4	12	4	3	2	3			4	1	5	8	2	5	9	9			5	12	12	6	18	1	7	16	5	
657															1																																																													1																																						2						
660													3																																																												1	1																																														
662																																																										8	9																					6																																							9	
663														1					1																																																1									1			1		1																																							
664								1																																																													1																																																			
666												1	1	3						3																																																						1	1	2				3																																								
667																		1																																																												1																																										
668																																																																																																																								
669	1							2	2	2																																							1	3								2					1								2	1	1																									1												1	3							2		
670								1												4		1	1	1	1		1														1	4			1	1		1		3	5				4				1	6									1											4		1		2	1		1														2	4			1	1		1		2	6					4			1	2
672													1																																																														1																																													
673			1			3	5		7	10	9	18	26	1	9	16	21	20	5	17							1					1																																		1	1	2	3	2	5	5	5	14	12	1	9	5	5	15									1																															
674																																																																																																																								
675																			1																																																												1																																									
676						6				3		2	1													3																																									1	1						3												1	2																																	
677		3	1		2		1																																																									2	1	1	1	1	1																																																			
678	20	5	5	3	3	10	5	2	1	2	5	11		1	4	7		1			12	11						1	1												6					1						2											2	1	1	3	2	2	6	2	1	2		1	1			1			12	11	1										1	1							7	5	1				1													
679							3		3						2	3	1	5	3	1																								4								1		13	3	5		4	4	4											2							2	3	3																								1									1	5	8	6	2	2	4	4
682							1							3		2	2								1																																					1	1						1						1		2									1																																		
683																																																																																																																								
684																																																																																																																								
685																1		1																																																																																																						
686									2		2										1	1																				1		3		3			5	1	3		1	4																		2																																					2	1	2	2			4					
687		5	2	2	2		15	1	4	14	5	7	14	8	1	2	1	2	1	1	2	3	7	38	3	14	23	19				3	2	2		3	1	3	2	1	9	9	13	35	26	61	96	24	3	3	29	11	17	9	5	23	6	28	29	21			1	1	1	2	4	9	3		2	6	4	5	8	4		1	1	1	1	5	5	28	15	14	14	11	5		1			1	1	1	1		2		14		8	21	31	30	83	65	9	3	5	26	8	6	10	5	27	2	29	24
688				2	4				1			1							1			3	2		13	2	2															15	18	8	12	1	1												1								3	2					1						1				3	1	13	2	2																17	21	3	12	1	1											1	
689				1																		2													1						4	2	5		14										1																												2																			4	2	5		12										1				
692						1																																																																																																																		
693		4		1	2	2							3	7	2	1	1	2	1			5																				5							1	3					6	7		2	2	2					1		2	2						1	4	1	2	2	1			1	4																				4	1							1	3				6	7		2	
694														4		1	2			1																																																																																																				
696																																																																																																																								
697																																																																																																																								
698						3																																																												1	2																																																					
701					4	12			3	1		1	10	4	1		10						3		3																																								4		10			3	1	1	7	4	4			10					3		3																																			
702																						1		1																		2																																								1		1																			2																	
705	2			2																																																																																																																				
706															1																																																																																																									
707																																																																																																																								
708	11	2	12	11	14	6	3	8	3	10	9	1	1	6	2	3	4		2	1							2	2			1	2	2								8		13		22	11							3			3					4	5	5	1	5	10	19	5	3		1	11	7		2	2	1	1	2		1	1	2					2	1			1			1						18			11		32	1						1	2		2				
709																																																												10																																																												12
710																																																																																																																								
711			1																				1																				1	1																																								1																				1	1															
713																																																						2																																																													1					
714		1								1	1																																													2								2			1	2	1											2																																				2				
715	1									1			1	1		2	1			7	2																				4		1																			1										1		1		1	1	1		1	2																				5		2																	1
716																																																																																																																								
717																													1																																																														1																													
718	1		1	1	1	1	1	1	1	1	1	1	7	5	3							1	5																			1					1	1		7	2	5	12	17	10	1											1	1			1			1	5	1	1				1	1	5																		6	1					1	1			5	3	14	11	12	5	1			
719	103	91	54	22	68	30	61	65	34	10	18	14	18	17	8		2	1	3												2											1		1	19			1	1												36	90	76	95	59	49	67	51	57	25	26	20	16	18	8	5			3	3	11	5	3										2								2		1		1	19			1		1									
720	1		1		15	47	20	8	13	2																																																								1	11	44	12	5	11																																																	
721	3		2	1	2	2	1		3	1											2	1	3	9	6	3	4		1	1		1									4	1	3	8	6	7	18	3	18	94	45	10	4			2	2	2	1	2		1					2	1	2		1	1	1								4	1	2	9	6	3	2	2	1					1							5	3		2	5	11	3	16	9	7	90	20	9	4		2	2		1	2
722													2																																			1																										2																																														1
724														1				1																																								1	1																1																																												1	
725											1									4									4																												1																							1																																						1		
727																																																																																																																								
729																																																																																																																								
730																																																																																																																								
731																																																																																																																								
732			7	3	2	11	15	37	5	5	15	4	14	13	2	3	6	6	1				5		2	6	5	3	1														3		2	10		1				2		2												8	4	15	18	9	3		3			1		1	1	10			5	3	2	3	8	2	1	1														3		2	10	1					1	1	2					
734	1	2	1	2		4	3	9	6	5	4		6	5	2	2	4	1				2				1		2		2	1					2					1	2	6	10	15	9	7	7	16	18	22	5	2	2	1	9	4	2											3		1	4	5		5		1	2		4													1																14	19	14	8		4	1	5	5	15		
735																					9	9	13	11	4	2	2	2	2	4	4	2		7	2	2	3	3	1	1	1	9	1	6	4		1	6	1		3	5	7	9	3	2	3	3	8	2																									2	3	1		2	1	1	2	4		6				1	1					1	3	1	6		1	3	5	7	7	3	1	2	3	8	4
736	1		7							1	4	9	6	6	3	1	2	1	5	7										1	1																	2					1	1												2	3					1	3	6	8	7	2		5	10													2																2					1						
737	165	136	152	111	228	181	213	280	332	343	281	360	438	327	377	227	227	140	47	15	12	2	4			1											1				9	22	8	14	25	30	10	12	16	5	9	8	6	6	11	9	18	9			27	2	4	7	4	9	14	176	117	29	35	124	297	213	172	116	151	214	47	31	2																											10	13	8	5	7	10	7	9	8	11	19		
738								6	4														6			1																																										2	1	1	2												1	5		1																																		
739																				2																																																																																																				
740														1					2	2																						6					1													1															1				2	2																						5	1				1													1
741												1				1																																				1						1															1					1																																			1					1		
742									2	6	1	1			1	1			1																																																	1	1			6				1	2	1	1																													5												
743																																											1											1																																																		1											1					
744																																																																																																																								
745		1	1			1	4	2	6			1	1	1		1	2	1	2							1	2		1								4	2	1										6									3								1			5	4			1	1	1		1	2	2							1	2		1								1	2	1										5	1								3		
746																																																																																																																								
747																																																																																																																								
748			1		1	1	1	5	1	1	2	1	4	4	1	1						29		1	11	3	5	1	1																																1	2	4	2	6		1	3		3	1	2	2	2	2	1	1				1	23	5	1	11		8				1																													
801																																																																																																																								
805								1				1	1	3			1	2	1																										1																																	1	1																																									
808	35	38	48	49	39	32	32	27	26	20	30	26	19	15	18	3																																7			1				1	1							26	99	31	18	15	15	8	2	6	6	16	8	11	7	4							1																								5	2			1			1		1			
809		1					1	1		1		3	3	4	10		1	3	1			1																						3	2		1				3		2	10	4	2	4	1	1	3														1	3	6	4		1	2																															3		2	3	11	2	3	1	1	3
815					1	1																																								10		1																			1	1																																							10	1												
821	5	2	1	1		1	2		1		7	1	2	3	2	4	4	7	2	10																																									2	3	3	1	3	3		1	1	1	1		3	3	2	2	3	2	2	5																																								
822	1	1	1	1	2	1	2		8	2			1	2						3												2																																	2	1	2	1	1		2		1		1					2														1																										
823	4	2	2	1	4	2	4	4	3	2	9	3	7	4	2	2		2	1																																																		2	6	2	3	5	2	8	2	1	2	1																																									
851							1																																																												1																																																					
855	7	14	5	3	8	11	3	6	13	9	3	4	1	1	5	4	4	4	3			1	2												1			1			2		1	4	7	8		2	3	3	12		2	1	2		1	3	3		4	2	3	2	8	4	10	9	5		2	7	2	3			2	2	3	4		1	2																		2	1		1	7	9	2		2	6	2	10		3			1		3	
856			2	1	2	4	3		3	1	1			1			1	2	1	2																																										1					1	3								1	1		1																																									
858																																																																																																																								
868				14	7	4	2	10	8	3		4		3	5	3	1						1	3	2	1			3																																					11	7	2	6	1	5	1	1		3	1	3						1	3		2																																		
871	2			2	8	8	8	4	11	5	12	18	14	25	25	9	21	14	13	18								2					2		1		1										2	2														2	3		5	6	12	4	1	2	6	10	13	9	24	16	8	5	13	8		1							1						1			1										2	2									1		
877	1			2			1	1	2												1	2	1																		1	3																					1			1		1		4											1	2	1																			1	2	1																
901	2	2	4	5	5	1	6	15	6	1	3	4	1		3	4	2			1	1	1	3	6			1									1					7	23			7	3	14	17	10	14	17	22		3	3	11	2	5	12	5		1	1		6	4	3	5	4	2	5	2	5	1	2	1	4	1			3	2	3	6	1		1										1				15	6	1			4	4	14	14	7	7	2	25	5	1	4	8		12	4
902				2	2	1		3	1	5		1	1	1								1	2	4	6	1																		7	4	4		2														1				1		2	1	2		3	1									1		4	6	1															1				6	6		2												
903						3	6	2	2	2			2	2		2	3	1	2	3						5																																									2	6	2	2	3				1			2	2		1					5																																		
904						1			2		1	1	3				1	1	1		1	1	2	1	1	2	1																1			1	1	4					1	3			1	1	1									1				1	1	2	2				1		1	1		2		2	2																				1							1	2	1	1		1	
905																																																																																																																								
906																																																																																																																								
907																																																																																																																								
908									1			2	1		2																																					1																		1		1	2			2																																				1								
909			1		1	8	2	16	13	4	9	11	8	3	13	17	2	5				1	1			3	1		3	2			1																							7	5										2	7	3	10	8	8	5	3	6	3	2					1	1			3	1	1		3		3			1																									
910			1	2		5	4	2		1		13	5	1	8	8	1	4	1	10						11	1															4		1			5	3				1						2	2						1	2	2	6	3			1		4			4	2	1	9						3	9																	4	1			8					1						2	
911	1		1	5	2	4	11	4	13	17	14	25	21	34	15	68	78	44	46	44				9	2	1	1	1		2	7	3	3	6	8	8	3	2	1		11		15	5	3	1		6	1	2	2	2		1	6		2	5	2	8	1	1		1		5	4	3	7	1	5	13	9	21	10	15	17	29	46	15	1	1		5	5	1	1					4	1	1	2	6	3	2	1		2	9		15	6	3		1	6		2	2	2		1	6	1	4	2	7
912		2	1			2	1		2																																		3				1														2	1	2	2	1		1	1			1																																	3																
913										1		3											3																																																	1											3																																					
914	4		2																																																										1			1		1																																																						
915																		3																																																										1																																												
916				2	4	3	1	1					5	2	2	1	2	1		1																																															3	5					2		3	1	2	2		2							1																																	
917								2						3	5	5	8	5	7	5																																																	1		1				1	1	2	2	7	5																																								
