ID1	APPLY_P_00	APPLY_P_01	APPLY_P_02	APPLY_P_03	APPLY_P_04	APPLY_P_05	APPLY_P_06	APPLY_P_07	APPLY_P_08	APPLY_P_09	APPLY_P_10	APPLY_P_11	APPLY_P_12	APPLY_P_13	APPLY_P_14	APPLY_P_15	APPLY_P_16	APPLY_P_17	APPLY_P_18	APPLY_P_19	APPLY_U_00	APPLY_U_01	APPLY_U_02	APPLY_U_03	APPLY_U_04	APPLY_U_05	APPLY_U_06	APPLY_U_07	APPLY_U_08	APPLY_U_09	APPLY_U_10	APPLY_U_11	APPLY_U_12	APPLY_U_13	APPLY_U_14	APPLY_U_15	APPLY_U_16	APPLY_U_17	APPLY_U_18	APPLY_U_19	APPLY_D_00	APPLY_D_01	APPLY_D_02	APPLY_D_03	APPLY_D_04	APPLY_D_05	APPLY_D_06	APPLY_D_07	APPLY_D_08	APPLY_D_09	APPLY_D_10	APPLY_D_11	APPLY_D_12	APPLY_D_13	APPLY_D_14	APPLY_D_15	APPLY_D_16	APPLY_D_17	APPLY_D_18	APPLY_D_19	REGISTER_P_00	REGISTER_P_01	REGISTER_P_02	REGISTER_P_03	REGISTER_P_04	REGISTER_P_05	REGISTER_P_06	REGISTER_P_07	REGISTER_P_08	REGISTER_P_09	REGISTER_P_10	REGISTER_P_11	REGISTER_P_12	REGISTER_P_13	REGISTER_P_14	REGISTER_P_15	REGISTER_P_16	REGISTER_P_17	REGISTER_P_18	REGISTER_P_19	REGISTER_U_00	REGISTER_U_01	REGISTER_U_02	REGISTER_U_03	REGISTER_U_04	REGISTER_U_05	REGISTER_U_06	REGISTER_U_07	REGISTER_U_08	REGISTER_U_09	REGISTER_U_10	REGISTER_U_11	REGISTER_U_12	REGISTER_U_13	REGISTER_U_14	REGISTER_U_15	REGISTER_U_16	REGISTER_U_17	REGISTER_U_18	REGISTER_U_19	REGISTER_D_00	REGISTER_D_01	REGISTER_D_02	REGISTER_D_03	REGISTER_D_04	REGISTER_D_05	REGISTER_D_06	REGISTER_D_07	REGISTER_D_08	REGISTER_D_09	REGISTER_D_10	REGISTER_D_11	REGISTER_D_12	REGISTER_D_13	REGISTER_D_14	REGISTER_D_15	REGISTER_D_16	REGISTER_D_17	REGISTER_D_18	REGISTER_D_19
60	1			1		1			2	1	4		1		1		1			3			1																				4										2		4	4	5	2	1							1		1					4		1			1		4			1																					4										2		8	3	3	1	
61	3517	2855	2295	2545	3050	3235	3682	4218	3714	2225	1946	1353	1237	805	852	970	969	794	271	910	4	4		1				1	48	15	3										19	3																			1263	1415	2587	1762	1325	1588	2653	2557	1779	1392	1367	1855	1158	73	18	8	42	99	271	400	108	85	148	102	13	1															34	7																		
64																																																																																																																								
65																																																																																																																								
66																																																																																																																								
67		1			1	2				3	2	1				2	3		2		2	5	3	1	1				6		1										1		4					1			2			1	1	2																1	2	1					2		1	6	3	1	1																	1	4					1			2				1	2	1			
68			1					3	2	2	5	8	1	2	2	3	1			1																														4			2	2											1					3	2	4	2	3		1	2	2																																	3	1			4					
69	19	17	14	12	8	16	21	16	3		2										12	31	30	5	7	5	4														2	5	6	11			1		1												2	5	10	11	5	9	15	22	11	11	3	1	1								2	34	27	9	6	8	4																1	2	2			1		1										
70	1	4	2	9	19	14	25	14	23	11	17	28	69	65	31	15	9	7	7	7	9	12	6	1	2																7	1				2	1				2		6	1	2	1	1				1		1	1	2	6	30	18	14	3	5	3	10	12	10	11	6	6	7	16	8	18	8		3																4	2	1			2	1					1		6	1	3				
71																				1																																																												1																																								
72		2	1			3		1	4	2																																																						3		1	1	1			3																																																	
73								3								1																																									2												3									1																																							2			
74	2				1	1																																																									1																																																									
75											5	7	6	9	1	4		1		4																																																			9	7	3	9	3	3	1			3																																								
76					1						2	2	1	1				1	1	2			2		1																										2	2	2														1				1	1	1	1	1				1	2				2	1																										1	3		2						
77	17	8		6	1			2	1	2			2	3	1	1					6						2														70	10				1	7			2	7		7	4	1	1	1						1	15	3	3	3			1			1		2	2						6					2														13	38	28					7				9		6	4		2			
79	5	1	1	1																																																									5	5	5																		1																																							
80	1					1	1		8	5	4	1	2	1		1				3	13	6	2	1		1	7														20	10	1			2	14		6	2	1		1	3	1			6	2	4	1		1				1	1			4	2	3	3	1					2	9	11	2	1		1	5														4	13	11	2		1	1	11	6		2	1		2	2	1		3	2	3
82												1				2				1																																																						1			1			1																																								
83	4	1	6	6	7	2	1														7	2	9	6	1	2															54	18	21	9	2																		2	1	1		9														7	4	9	8	1	2															31	30	3	3	1	2														
85																																																																																																																								
